company,domain
Anthropic PBC,claude.ai
DEEP FLOW SOFTWARE SERVICES - FZCO,codeway.co
"TradingView, Inc.",tradingview.com
Fusion Media Limited,investing.com
"Splitwise, Inc.",splitwise.com
Federation Internationale de Football Association,fifamobile.short.gy
"Konami Digital Entertainment Co., Ltd.",img.konami.com
Kick Streaming Pty Ltd,kick.com
Bending Spoons Apps ApS,remini.ai
TP-Link Systems Inc.,tapo.com
NGL Labs LLC,ngl.link
Online Classifieds AG,pure.app
苏娟 陈,iuuapp.com
Lightricks Ltd.,facetuneapp.com
Perplexity AI Inc.,perplexity.ai
PLAUD LLC,plaud.ai
Kahoot ASA,kahoot.com
Udemy Inc,udemy.com
Badoo Software Ltd,badoo.com
GTHW App Limited,makeheadway.com
Praktika.ai Company,praktika.ai
"Captions, LLC",mirage.app
You Need A Budget LLC,app.ynab.com
Feeld Ltd,feeld.co
Bookipi Pty Ltd,bookipi.com
"Beijing Xiaomi Co., Ltd",mi.com
"Xiamen Meitu Technology Co., Ltd.",meituxiuxiu.com
TAPSUITE YAZILIM HIZMETLERI ANONIM SIRKETI,deepsearchai.app
SURFSHARK LTD,surfshark.com
"Payward, Inc.",kraken.com
BENIPOL LIMITED,keiki.app
NETSTORY PTE. LTD.,netshort.com
Photoroom,photoroom.com
Bending Spoons Apps ApS,spliceapp.com
Moymer Negocios e Servicos em Tecnologia LTDA.,falou.com
UNACADEMY INC,airlearn.com
DAZZ PTE. LTD.,dazz.ltd
Prequel Inc.,prequel.app
"Speakeasy Labs, Inc",speak.com
Brainstash Inc,deepstash.com
Century Games Pte. Ltd.,centurygames.com
PIXOCIAL TECHNOLOGY (SINGAPORE) PTE. LTD.,beautyplus.com
Invideo Inc,ai.invideo.io
Noctua Software Limited,stellarium-labs.com
Monkey Taps,monkeytaps.net
Knowunity GmbH,knowunity.de
Speechify Inc.,speechify.com
PIXOCIAL TECHNOLOGY (SINGAPORE) PTE. LTD.,appairbrush.com
Blinks Labs GmbH,blinkist.com
Superhuman Platform Inc,grammarly.com
"SZ DJI TECHNOLOGY CO., LTD",store.dji.com
"Match Group Americas, LLC",okcupid.com
Vortemol Limited,myplantin.com
INNOVATIVE CONNECTING PTE.LIMITED,turbovpn.co
HUBX YAZILIM HIZMETLERI ANONIM SIRKETI,aivideoart.co
Appostrophe AB,scrl.com
"Pingo AI, Inc.",pingo.ai
BudgetBakers s.r.o.,budgetbakers.com
"Otter.ai, Inc.",otter.ai
LETEM LTD,findmykids.org
dwins GmbH,finanzguru.de
AttaPoll Ltd,attapoll.com
Microfun Limited,microfun.com
Lucky Monkey Tech Limited,bitcoinlucky.xyz
Seiko Epson Corporation,epson.com
Visual Supply Company,vsco.co
"MAETCH EXPANSION, S.L.",video-up.app
"Xiamen Meitu Technology Co., Ltd.",wink.meitu.com
Astra AI d.o.o.,astra-ai.co
MUZZ LTD,muzz.com
"Hangzhou Xiaoying Innovation Technology Co., Ltd.",vivavideo.tv
AIBY Incorporated,aiby.com
Simply Ltd,hellosimply.com
Yousician Ltd,yousician.com
Simon & Schuster,pimsleur.com
Buddy Budgeting AB,buddy.download
Glority Global Group Ltd.,plantparentai.com
Kremital Limited,nibble-app.com
SHANTANU PTE. LTD.,inshot.cc
HEARTBIT S.R.L.,couplejoyapp.com
VideoLAN,videolan.org
